Date,Place,Exercise,Reps,Series,Weight,twsr,twsrd,max-twsr,max-twsrd,Week
1/2/2020,home,training,1,1,1,1,1,1,2,202001
1/2/2020,home,sit up,10,2,1,20,100,210,230,202001
1/2/2020,home,supported one arm push up,4,1,1,4,9,18,18,202001
1/2/2020,home,sit up,20,2,1,40,100,210,230,202001
1/2/2020,home,supported one arm push up,5,1,1,5,9,18,18,202001
1/2/2020,home,lying leg raise,10,5,1,50,50,91,91,202001
1/2/2020,home,sit up,40,1,1,40,100,210,230,202001
1/5/2020,home,training,1,1,1,1,1,1,2,202001
1/5/2020,home,push up,12,2,1,24,24,80,120,202001
1/5/2020,home,lying leg raise,6,1,1,6,36,91,91,202001
1/5/2020,home,lying leg raise,10,3,1,30,36,91,91,202001
1/6/2020,home,training,1,1,1,1,1,1,2,202002
1/6/2020,home,lying leg raise,10,2,1,20,20,91,91,202002
1/7/2020,gym,training,1,1,1,1,1,1,2,202002
1/7/2020,gym,chin up lat pull down,8,3,50,1200,1875,1320,1875,202002
1/7/2020,gym,inclined chest press,9,3,40,1080,1280,1080,1290,202002
1/7/2020,gym,inclined chest press,5,1,40,200,1280,1080,1290,202002
1/7/2020,gym,sit 65deg biceps LR,10,3,8,240,315,400,510,202002
1/7/2020,gym,hanging leg raise,4,4,1,16,16,42,72,202002
1/7/2020,gym,chin up lat pull down,3,3,75,675,1875,1320,1875,202002
1/7/2020,gym,sit 65deg biceps LR,4,1,12.5,50,315,400,510,202002
1/7/2020,gym,sit 65deg biceps LR,2,1,12.5,25,315,400,510,202002
1/9/2020,gym,training,1,1,1,1,2,1,2,202002
1/9/2020,gym,bench press,10,1,40,400,3050,2000,3050,202002
1/9/2020,gym,bench press,10,2,45,900,3050,2000,3050,202002
1/9/2020,gym,bench press,10,1,40,400,3050,2000,3050,202002
1/9/2020,gym,bench press,15,2,30,900,3050,2000,3050,202002
1/9/2020,gym,leg press 45st,8,3,40,960,1560,1950,2670,202002
1/9/2020,gym,leg press 45st,5,2,60,600,1560,1950,2670,202002
1/9/2020,gym,sit 65deg biceps LR,6,2,12.5,150,150,400,510,202002
1/9/2020,gym,bench press,15,1,30,450,3050,2000,3050,202002
1/9/2020,home,training,1,1,1,1,2,1,2,202002
1/9/2020,home,side plank LR (15 sec rep),2,2,1,4,4,8,8,202002
1/9/2020,home,lying leg raise,15,2,1,30,36,91,91,202002
1/9/2020,home,lying leg raise,6,1,1,6,36,91,91,202002
1/9/2020,home,push up,10,1,1,10,31,80,120,202002
1/9/2020,home,push up,9,1,1,9,31,80,120,202002
1/9/2020,home,push up,5,1,1,5,31,80,120,202002
1/9/2020,home,push up,7,1,1,7,31,80,120,202002
1/10/2020,home,training,1,1,1,1,1,1,2,202002
1/10/2020,home,supported one arm push up,5,1,1,5,5,18,18,202002
1/10/2020,home,lying leg raise,20,1,1,20,30,91,91,202002
1/10/2020,home,lying leg raise,10,1,1,10,30,91,91,202002
1/10/2020,home,sit up,20,1,1,20,20,210,230,202002
1/12/2020,home,training,1,1,1,1,1,1,2,202002
1/12/2020,home,supported one arm push up,6,1,1,6,6,18,18,202002
1/12/2020,home,push up,15,1,1,15,15,80,120,202002
1/12/2020,home,sit up,30,1,1,30,30,210,230,202002
1/12/2020,home,lying leg raise,15,1,1,15,15,91,91,202002
1/13/2020,gym,training,1,1,1,1,2,1,2,202003
1/13/2020,gym,bench press,3,1,40,120,870,2000,3050,202003
1/13/2020,gym,bench press,5,3,50,750,870,2000,3050,202003
1/13/2020,gym,chin up lat pull down,11,3,40,1320,1320,1320,1875,202003
1/13/2020,gym,leg press 45st,3,1,40,120,720,1950,2670,202003
1/13/2020,gym,leg press 45st,5,2,60,600,720,1950,2670,202003
1/13/2020,gym,inclined chest press,5,2,60,600,600,1080,1290,202003
1/13/2020,home,training,1,1,1,1,2,1,2,202003
1/13/2020,home,push up,10,2,1,20,20,80,120,202003
1/13/2020,home,lying leg raise,15,3,1,45,45,91,91,202003
1/16/2020,gym,training,1,1,1,1,2,1,2,202003
1/16/2020,gym,chin up lat pull down,10,2,40,800,800,1320,1875,202003
1/16/2020,gym,bench press,5,1,50,250,1595,2000,3050,202003
1/16/2020,gym,bench press,5,1,55,275,1595,2000,3050,202003
1/16/2020,gym,bench press,2,1,60,120,1595,2000,3050,202003
1/16/2020,gym,bench press,4,1,50,200,1595,2000,3050,202003
1/16/2020,gym,leg press 45st,10,4,40,1600,1600,1950,2670,202003
1/16/2020,gym,sit 65deg biceps LR,8,4,10,320,320,400,510,202003
1/16/2020,gym,seated leg calf,12,1,45,540,2190,1650,2190,202003
1/16/2020,gym,seated leg calf,10,3,55,1650,2190,1650,2190,202003
1/16/2020,gym,inclined chest press,7,2,60,840,1290,1080,1290,202003
1/16/2020,gym,inclined chest press,5,1,50,250,1290,1080,1290,202003
1/16/2020,gym,inclined chest press,4,1,50,200,1290,1080,1290,202003
1/16/2020,gym,lying leg raise,8,3,2.5,60,90,91,91,202003
1/16/2020,gym,hanging leg raise,5,3,1,15,15,42,72,202003
1/16/2020,gym,bench press,10,1,40,400,1595,2000,3050,202003
1/16/2020,gym,bench press,7,1,50,350,1595,2000,3050,202003
1/16/2020,home,training,1,1,1,1,2,1,2,202003
1/16/2020,home,side plank LR (15 sec rep),3,1,1,3,5,8,8,202003
1/16/2020,home,side plank LR (15 sec rep),2,1,1,2,5,8,8,202003
1/16/2020,home,sit up,25,1,1,25,65,210,230,202003
1/16/2020,home,push up,12,2,1,24,24,80,120,202003
1/16/2020,home,sit up,40,1,1,40,65,210,230,202003
1/16/2020,home,lying leg raise,20,1,1,20,90,91,91,202003
1/16/2020,home,lying leg raise,10,1,1,10,90,91,91,202003
1/20/2020,home,training,1,1,1,1,1,1,2,202004
1/20/2020,home,sit up,20,1,1,20,140,210,230,202004
1/20/2020,home,push up,10,1,1,10,50,80,120,202004
1/20/2020,home,lying leg raise,10,1,1,10,34,91,91,202004
1/20/2020,home,supported one arm push up,5,2,1,10,10,18,18,202004
1/20/2020,home,sit up,20,6,1,120,140,210,230,202004
1/20/2020,home,push up,10,4,1,40,50,80,120,202004
1/20/2020,home,lying leg raise,12,2,1,24,34,91,91,202004
1/21/2020,home,training,1,1,1,1,1,1,2,202004
1/21/2020,home,sit up,10,1,1,10,10,210,230,202004
1/21/2020,home,push up,5,1,1,5,13,80,120,202004
1/21/2020,home,lying leg raise,10,1,1,10,10,91,91,202004
1/21/2020,home,side plank LR (15 sec rep),2,2,1,4,4,8,8,202004
1/21/2020,home,push up,8,1,1,8,13,80,120,202004
1/22/2020,home,training,1,1,1,1,1,1,2,202004
1/22/2020,home,push up,15,2,1,30,45,80,120,202004
1/22/2020,home,lying leg raise,10,5,1,50,50,91,91,202004
1/22/2020,home,push up,15,1,1,15,45,80,120,202004
1/23/2020,home,training,1,1,1,1,1,1,2,202004
1/23/2020,home,sit up,20,4,1,80,130,210,230,202004
1/23/2020,home,side plank LR (15 sec rep),4,1,1,4,4,8,8,202004
1/23/2020,home,push up,15,1,1,15,42,80,120,202004
1/23/2020,home,push up,10,2,1,20,42,80,120,202004
1/23/2020,home,push up,7,1,1,7,42,80,120,202004
1/23/2020,home,sit up,50,1,1,50,130,210,230,202004
1/26/2020,home,training,1,1,1,1,1,1,2,202004
1/26/2020,home,push up,10,3,1,30,30,80,120,202004
1/26/2020,home,sit up,30,2,1,60,60,210,230,202004
1/27/2020,home,training,1,1,1,1,1,1,2,202005
1/27/2020,home,sit up,20,1,1,20,140,210,230,202005
1/27/2020,home,lying leg raise,10,1,1,10,70,91,91,202005
1/27/2020,home,push up,8,8,1,64,70,80,120,202005
1/27/2020,home,push up,6,1,1,6,70,80,120,202005
1/27/2020,home,lying leg raise,15,4,1,60,70,91,91,202005
1/27/2020,home,sit up,30,4,1,120,140,210,230,202005
1/28/2020,gym,training,1,1,1,1,1,1,2,202005
1/28/2020,gym,hanging leg raise,6,2,1,12,42,42,72,202005
1/28/2020,gym,sit 65deg biceps LR,9,4,10,360,360,400,510,202005
1/28/2020,gym,inclined chest press,6,2,65,780,1040,1080,1290,202005
1/28/2020,gym,inclined chest press,4,1,65,260,1040,1080,1290,202005
1/28/2020,gym,hanging leg raise,5,6,1,30,42,42,72,202005
1/28/2020,gym,lying leg raise,8,1,2.5,20,32.5,91,91,202005
1/28/2020,gym,lying leg raise,5,1,2.5,12.5,32.5,91,91,202005
1/28/2020,gym,bench press,12,3,40,1440,1440,2000,3050,202005
1/28/2020,gym,leg press 45st,8,2,50,800,1050,1950,2670,202005
1/28/2020,gym,leg press 45st,5,1,50,250,1050,1950,2670,202005
1/29/2020,home,training,1,1,1,1,1,1,2,202005
1/29/2020,home,sit up,20,3,1,60,60,210,230,202005
1/29/2020,home,lying leg raise,15,2,1,30,36,91,91,202005
1/29/2020,home,lying leg raise,6,1,1,6,36,91,91,202005
1/29/2020,home,push up,12,3,1,36,36,80,120,202005
1/31/2020,home,training,1,1,1,1,1,1,2,202005
1/31/2020,home,push up,12,1,1,12,19,80,120,202005
1/31/2020,home,push up,7,1,1,7,19,80,120,202005
1/31/2020,home,lying leg raise,15,2,1,30,30,91,91,202005
2/1/2020,home,training,1,1,1,1,1,1,2,202005
2/1/2020,home,push up,10,3,1,30,30,80,120,202005
2/1/2020,home,sit up,30,1,1,30,90,210,230,202005
2/1/2020,home,sit up,30,2,1,60,90,210,230,202005
2/2/2020,home,training,1,1,1,1,1,1,2,202005
2/2/2020,home,push up,5,1,1,5,19,80,120,202005
2/2/2020,home,sit up,20,1,1,20,20,210,230,202005
2/2/2020,home,supported one arm push up,5,1,1,5,5,18,18,202005
2/2/2020,home,push up,7,2,1,14,19,80,120,202005
2/3/2020,home,training,1,1,1,1,1,1,2,202006
2/3/2020,home,push up,10,4,1,40,40,80,120,202006
2/3/2020,home,lying leg raise,15,2,1,30,30,91,91,202006
2/4/2020,home,training,1,1,1,1,1,1,2,202006
2/4/2020,home,sit up,20,1,1,20,140,210,230,202006
2/4/2020,home,push up,15,1,1,15,36,80,120,202006
2/4/2020,home,lying leg raise,15,1,1,15,15,91,91,202006
2/4/2020,home,supported one arm push up,5,2,1,10,10,18,18,202006
2/4/2020,home,sit up,30,4,1,120,140,210,230,202006
2/4/2020,home,push up,15,1,1,15,36,80,120,202006
2/4/2020,home,push up,6,1,1,6,36,80,120,202006
2/5/2020,home,training,1,1,1,1,1,1,2,202006
2/5/2020,home,sit up,20,1,1,20,20,210,230,202006
2/5/2020,home,push up,9,5,1,45,49,80,120,202006
2/5/2020,home,push up,4,1,1,4,49,80,120,202006
2/5/2020,home,side plank LR (15 sec rep),1,3,1,3,3,8,8,202006
2/7/2020,home,training,1,1,1,1,1,1,2,202006
2/7/2020,home,push up,5,1,1,5,70,80,120,202006
2/7/2020,home,sit up,21,1,1,21,121,210,230,202006
2/7/2020,home,supported one arm push up,4,3,1,12,12,18,18,202006
2/7/2020,home,lying leg raise,15,4,1,60,60,91,91,202006
2/7/2020,home,side plank LR (15 sec rep),2,2,1,4,4,8,8,202006
2/7/2020,home,push up,8,4,1,32,70,80,120,202006
2/7/2020,home,sit up,50,1,1,50,121,210,230,202006
2/7/2020,home,push up,15,1,1,15,70,80,120,202006
2/7/2020,home,push up,10,1,1,10,70,80,120,202006
2/7/2020,home,sit up,50,1,1,50,121,210,230,202006
2/7/2020,home,push up,8,1,1,8,70,80,120,202006
2/11/2020,gym,training,1,1,1,1,1,1,2,202007
2/11/2020,gym,sit 65deg biceps LR,10,4,10,400,400,400,510,202007
2/11/2020,gym,hand bench press,10,3,25,750,750,1080,1880,202007
2/11/2020,gym,sit up,30,1,1,30,150,210,230,202007
2/11/2020,gym,hanging leg raise,6,3,1,18,36,42,72,202007
2/11/2020,gym,hanging leg raise,6,3,1,18,36,42,72,202007
2/11/2020,gym,sit up,30,4,1,120,150,210,230,202007
2/12/2020,gym,training,1,1,1,1,1,1,2,202007
2/12/2020,gym,push up,10,1,1,10,10,80,120,202007
2/12/2020,gym,sit up,30,1,1,30,30,210,230,202007
2/12/2020,gym,hanging leg raise,6,2,1,12,22,42,72,202007
2/12/2020,gym,hanging leg raise,5,2,1,10,22,42,72,202007
2/12/2020,gym,sit 65deg biceps LR,10,4,10,400,400,400,510,202007
2/13/2020,gym,training,1,1,1,1,1,1,2,202007
2/13/2020,gym,hand bench press,20,2,20,800,1880,1080,1880,202007
2/13/2020,gym,hanging leg raise,10,1,1,10,27,42,72,202007
2/13/2020,gym,hand bench press,12,3,30,1080,1880,1080,1880,202007
2/13/2020,gym,hanging leg raise,10,1,1,10,27,42,72,202007
2/13/2020,gym,sit 65deg biceps LR,7,1,10,70,510,400,510,202007
2/13/2020,gym,sit 65deg biceps LR,10,4,8,320,510,400,510,202007
2/13/2020,gym,hanging leg raise,7,1,1,7,27,42,72,202007
2/13/2020,gym,sit 65deg biceps LR,10,2,6,120,510,400,510,202007
2/15/2020,home,training,1,1,1,1,1,1,2,202007
2/15/2020,home,sit up,20,1,1,20,170,210,230,202007
2/15/2020,home,push up,5,1,1,5,62,80,120,202007
2/15/2020,home,lying leg raise,15,1,1,15,80,91,91,202007
2/15/2020,home,supported one arm push up,5,3,1,15,15,18,18,202007
2/15/2020,home,sit up,30,5,1,150,170,210,230,202007
2/15/2020,home,push up,7,6,1,42,62,80,120,202007
2/15/2020,home,push up,5,1,1,5,62,80,120,202007
2/15/2020,home,lying leg raise,13,5,1,65,80,91,91,202007
2/15/2020,home,push up,10,1,1,10,62,80,120,202007
2/20/2020,home,training,1,1,1,1,1,1,2,202008
2/20/2020,home,push up,11,4,1,44,72,80,120,202008
2/20/2020,home,push up,4,1,1,4,72,80,120,202008
2/20/2020,home,side plank LR (15 sec rep),3,2,1,6,6,8,8,202008
2/20/2020,home,lying leg raise,10,8,1,80,80,91,91,202008
2/20/2020,home,supported one arm push up,4,2,1,8,8,18,18,202008
2/20/2020,home,push up,8,3,1,24,72,80,120,202008
2/20/2020,home,sit up,30,2,1,60,60,210,230,202008
2/21/2020,gym,training,1,1,1,1,1,1,2,202008
2/21/2020,gym,bench press,10,1,30,300,2500,2000,3050,202008
2/21/2020,gym,bench press,10,4,40,1600,2500,2000,3050,202008
2/21/2020,gym,hanging leg raise,9,3,1,27,27,42,72,202008
2/21/2020,gym,inclined chest press,10,2,40,800,1040,1080,1290,202008
2/21/2020,gym,inclined chest press,6,1,40,240,1040,1080,1290,202008
2/21/2020,gym,leg press 45st,10,6,30,1800,1800,1950,2670,202008
2/21/2020,gym,sit 65deg biceps LR,11,2,9,198,198,400,510,202008
2/21/2020,gym,bench press,20,1,30,600,2500,2000,3050,202008
2/22/2020,home,training,1,1,1,1,1,1,2,202008
2/22/2020,home,sit up,20,1,1,20,80,210,230,202008
2/22/2020,home,lying leg raise,15,1,1,15,15,91,91,202008
2/22/2020,home,push up,7,10,1,70,70,80,120,202008
2/22/2020,home,side plank LR (15 sec rep),2,4,1,8,8,8,8,202008
2/22/2020,home,sit up,30,2,1,60,80,210,230,202008
2/24/2020,home,training,1,1,1,1,1,1,2,202009
2/24/2020,home,supported one arm push up,7,1,1,7,7,18,18,202009
2/24/2020,home,sit up,70,1,1,70,80,210,230,202009
2/24/2020,home,side plank LR (15 sec rep),4,1,1,4,4,8,8,202009
2/24/2020,home,push up,15,1,1,15,86,80,120,202009
2/24/2020,home,push up,10,1,1,10,86,80,120,202009
2/24/2020,home,lying leg raise,30,1,1,30,30,91,91,202009
2/24/2020,home,push up,10,1,1,10,86,80,120,202009
2/24/2020,home,push up,7,1,1,7,86,80,120,202009
2/24/2020,home,sit up,10,1,1,10,80,210,230,202009
2/24/2020,home,push up,13,1,1,13,86,80,120,202009
2/24/2020,home,push up,10,1,1,10,86,80,120,202009
2/24/2020,home,push up,8,1,1,8,86,80,120,202009
2/24/2020,home,push up,6,1,1,6,86,80,120,202009
2/24/2020,home,push up,7,1,1,7,86,80,120,202009
2/25/2020,gym,training,1,1,1,1,2,1,2,202009
2/25/2020,gym,bench press,10,1,40,400,1400,2000,3050,202009
2/25/2020,gym,bench press,10,2,50,1000,1400,2000,3050,202009
2/25/2020,gym,hanging leg raise,8,5,1,40,71,42,72,202009
2/25/2020,gym,leg press 45st,8,1,40,320,2670,1950,2670,202009
2/25/2020,gym,leg press 45st,8,1,50,400,2670,1950,2670,202009
2/25/2020,gym,leg press 45st,5,6,65,1950,2670,1950,2670,202009
2/25/2020,gym,hanging leg raise,9,2,1,18,71,42,72,202009
2/25/2020,gym,hanging leg raise,7,1,1,7,71,42,72,202009
2/25/2020,gym,inclined chest press,5,2,70,700,1180,1080,1290,202009
2/25/2020,gym,inclined chest press,5,1,60,300,1180,1080,1290,202009
2/25/2020,gym,inclined chest press,3,1,60,180,1180,1080,1290,202009
2/25/2020,gym,hanging leg raise,6,1,1,6,71,42,72,202009
2/25/2020,home,training,1,1,1,1,2,1,2,202009
2/25/2020,home,lying leg raise,15,2,1,30,30,91,91,202009
2/25/2020,home,push up,12,1,1,12,50,80,120,202009
2/25/2020,home,push up,8,2,1,16,50,80,120,202009
2/25/2020,home,push up,12,1,1,12,50,80,120,202009
2/25/2020,home,push up,10,1,1,10,50,80,120,202009
2/27/2020,home,training,1,1,1,1,1,1,2,202009
2/27/2020,home,lying leg raise,15,4,1,60,60,91,91,202009
2/27/2020,home,push up,15,1,1,15,41,80,120,202009
2/27/2020,home,push up,11,1,1,11,41,80,120,202009
2/27/2020,home,push up,5,3,1,15,41,80,120,202009
3/1/2020,home,training,1,1,1,1,1,1,2,202009
3/1/2020,home,push up,8,6,1,48,68,80,120,202009
3/1/2020,home,push up,4,1,1,4,68,80,120,202009
3/1/2020,home,lying leg raise,13,7,1,91,91,91,91,202009
